"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Thai Garden","225 West Golf Road","Schaumburg","IL","60195","thai-garden-schaumburg-162275","Yes","161","No",""
"Sbarro","3340 Mall Loop Drive","Joliet","IL","60431","sbarro-joliet-524256","Yes","0","No",""
"Guys Grille Gyros & More","386 West Liberty Street","Wauconda","IL","60084","guys-grille-gyros-more-wauconda-430974","Yes","150","No",""
"Omega Restaurant","1300 Ogden Avenue","Downers Grove","IL","60515","omega-restaurant-downers-grove-137074","Yes","162","No",""
"RA Sushi Virtual: Schaumburg","1200 East Higgins Road","Schaumburg","IL","60173","ra-sushi-schaumburg-545468","Yes","7","No",""
"Great Steak","3340 Mall Loop Drive","Joliet","IL","60431","great-steak-joliet-647316","Yes","0","No",""
"Broken Oar","614 Rawson Bridge Road","Port Barrington","IL","60010","broken-oar-port-barrington-445275","Yes","42","No",""
"Los Burritos Tapatios","484 Roosevelt Road","Glen Ellyn","IL","60137","los-burritos-tapatios-glen-ellyn-137091","No","179","No",""
"Jet's Pizza","2309 Essington Road","Joliet","IL","60435","jet-s-pizza-joliet-185281","Yes","231","No",""
"Briki Cafe","1453 West Lake Street","Addison","IL","60101","briki-cafe-addison-172439","Yes","159","No",""
"Whistle Stop Cafe","15 East Grand Avenue","Fox Lake","IL","60020","whistle-stop-cafe-fox-lake-586229","Yes","0","No",""
"Barone's of Glen Ellyn","475 Pennsylvania Avenue","Glen Ellyn","IL","60137","barone-s-of-glen-ellyn-glen-ellyn-140774","Yes","225","No",""
"Woodgrain Neapolitan Pizzeria","860 East Boughton Road","Bolingbrook","IL","60440","woodgrain-neapolitan-pizzeria-bolingbrook-214550","Yes","208","No",""
"Granite City","801 Plaza Drive","Schaumburg","IL","60173","granite-city-schaumburg-215886","Yes","296","No",""
"Lomeli's Rosticeria","1316 North Cedar Lake Road","Round Lake Beach","IL","60073","lomeli-s-rosticeria-round-lake-beach-214367","No","332","No",""
"El Norteno","206 East State Road","Island Lake","IL","60042","el-norteno-island-lake-214418","No","104","No",""
"Sammies","728 North Fairfield Road","Round Lake","IL","60073","sammies-round-lake-214437","No","420","No",""
"Roti Modern Mediterranean","20413 North Rand Road","Kildeer","IL","60074","roti-modern-mediterranean-kildeer-182977","Yes","281","No",""
"Bee Brothers","472 North Weber Road","Romeoville","IL","60446","bee-brothers-romeoville-445572","No","50","No",""
"El Callejon","602 Illinois 59","Naperville","IL","60540","el-callejon-naperville-177784","Yes","361","No",""
