"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Buffalo Wild Wings","1832 North Clybourn Avenue","Chicago","IL","60614","buffalo-wild-wings-chicago-274956","Yes","3405","No",""
"Chipotle","1522 East 53rd Street","Chicago","IL","60615","chipotle-chicago-270336","Yes","3142","No",""
"Wendy's","1623 West Division Street","Chicago","IL","60622","wendy-s-chicago-181751","Yes","4088","No",""
"Baba’s Famous Philly Steaks & Lemonade","7859 South State Street","Chicago","IL","60619","babas-famous-philly-steak-lemonade-chicago-254224","Yes","2131","No",""
"Taco Bell","920 West Belmont Avenue","Chicago","IL","60657","taco-bell-chicago-424537","No","1146","No",""
"Chick-fil-A","825 North Sedgwick Street","Chicago","IL","60610","chick-fil-a-chicago-612296","Yes","0","No",""
"Jerk 48","548 East 67th Street","Chicago","IL","60637","jerk-48-chicago-409891","Yes","1347","No",""
"649 - Noodles & Company","3419 North Southport Avenue","Chicago","IL","60657","noodles-company-chicago-379490","Yes","726","No",""
"Beggars Pizza","8100 South Stony Island Avenue","Chicago","IL","60617","beggars-pizza-chicago-367073","Yes","1386","No",""
"Seoul Taco","736 North Clark Street","Chicago","IL","60654","seoul-taco-chicago-166278","Yes","2084","No",""
"Captain Hooks Fish & Chicken","8554 South Cottage Grove Avenue","Chicago","IL","60619","captain-hooks-fish-chicken-chicago-335596","Yes","172","No",""
"Wingstop","1521 East 87th Street","Chicago","IL","60619","wingstop-chicago-161226","No","1712","No",""
"Popeyes Louisiana Kitchen","1600 West Irving Park Road","Chicago","IL","60613","popeye-s-louisiana-kitchen-chicago-176607","Yes","2386","No",""
"Harold's Chicken Shack","124 East 35th Street","Chicago","IL","60616","harold-s-chicken-shack-chicago-179403","Yes","1249","No",""
"Mild 2 Spicy","714 West Diversey Parkway","Chicago","IL","60614","mild-2-spicy-chicago-132396","Yes","2104","No",""
"JJ Fish & Chicken","5608 West Madison Street","Chicago","IL","60644","jj-fish-chicken-chicago-543233","Yes","95","No",""
"Taco Burrito King","811 West Jackson Boulevard","Chicago","IL","60607","taco-burrito-king-chicago-179198","Yes","1318","No",""
"Nick's Gyros","7858 South Ashland Avenue","Chicago","IL","60620","nick-s-gyros-chicago-371884","Yes","2016","No",""
"Slice Factory","1502 West 18th Street","Chicago","IL","60608","slice-factory-chicago-158150","Yes","1119","No",""
"Meatheads Roscoe Village","3304 North Western Avenue","Chicago","IL","60618","meatheads-chicago-256111","Yes","752","No",""
"Home Run Inn","10900 South Western Avenue","Chicago","IL","60643","home-run-inn-pizza-chicago-309199","Yes","1200","No",""
"Sushi-San","63 West Grand Avenue","Chicago","IL","60654","sushi-san-chicago-236644","Yes","622","No",""
"J & J Fish and Chicken","201 East 43rd Street","Chicago","IL","60653","jj-s-fish-chicken-chicago-179350","Yes","984","No",""
"White Castle","1550 East 79th Street","Chicago","IL","60619","white-castle-chicago-314002","Yes","1420","No",""
"Firehouse Steak and Lemonade","100 West 87th Street","Chicago","IL","60620","firehouse-steak-and-lemonade-chicago-335644","Yes","1","No",""
"Crave Kabob","1521 West Madison Street","Chicago","IL","60607","crave-kabob-chicago-353318","Yes","943","No",""
"KING GYROS","7904 South Vincennes Avenue","Chicago","IL","60620","king-gyros-chicago-367112","Yes","72","No",""
"Jet's Pizza","1025 West Madison Street","Chicago","IL","60607","jet-s-pizza-chicago-138661","Yes","1605","No",""
"Beatrix Fulton Market","834 West Fulton Market","Chicago","IL","60607","beatrix-chicago-179783","Yes","741","No",""
"Jerk Taco Man","7723 South State Street","Chicago","IL","60619","jerk-taco-man-chicago-521204","Yes","30","No",""
"Mixteco Mexican Grill","847 West Belmont Avenue","Chicago","IL","60657","mixteco-mexican-grill-chicago-366414","Yes","318","No",""
"Fred & Jack's","7600 South Yale Avenue","Chicago","IL","60620","fred-jack-s-chicago-335645","Yes","21","No",""
"New Grand Chinese Kitchen","5401 South Wentworth Avenue","Chicago","IL","60609","new-grand-chinese-kitchen-chicago-166111","Yes","488","No",""
"Molly's Cupcakes","419 East Illinois Street","Chicago","IL","60611","molly-s-cupcakes-chicago-160147","Yes","1033","No",""
"Buffalo Wings & Rings","3434 South Halsted Street","Chicago","IL","60608","buffalo-wings-and-rings-chicago-176728","No","200","No",""
"The Pasta Bowl","4343 North Lincoln Avenue","Chicago","IL","60618","the-pasta-bowl-chicago-338214","Yes","717","No",""
"Golden Apple Restaurant","2971 North Lincoln Avenue","Chicago","IL","60657","golden-apple-restaurant-chicago-519700","Yes","32","No",""
"Checkers","6705 South Halsted Street","Chicago","IL","60621","checkers-chicago-347455","Yes","634","No",""
"Aloha Poke Co.","163 West North Avenue","Chicago","IL","60610","aloha-poke-co-chicago-386121","Yes","343","No",""
"Five Guys IL-4020","180 North Michigan Avenue","Chicago","IL","60601","five-guys-chicago-397910","Yes","392","No",""
"Ponce Restaurant","4313 West Fullerton Avenue","Chicago","IL","60639","ponce-restaurant-chicago-150313","Yes","877","No",""
"Checkers","4320 West North Avenue","Chicago","IL","60639","checkers-chicago-492292","Yes","111","No",""
"Wildberry Pancakes and Cafe","130 East Randolph Street","Chicago","IL","60601","wildberry-pancakes-cafe-chicago-445161","Yes","0","No",""
