"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Wana Pizza ","713 East Lincolnway","La Porte","IN","46350","wana-pizza-la-porte-648837"
"Taco My Frend ","709 Michigan Avenue","La Porte","IN","46350","taco-my-frend-la-porte-648991"
"3rd Base Bar & Grill ","1201 Pine Lake Road","La Porte","IN","46350","3rd-base-bar-grill-la-porte-648992"
"Louies Cafe ","920 Lincolnway","La Porte","IN","46350","louies-cafe-la-porte-648993"
"J&j Pizza Shack ","1508 I Street","La Porte","IN","46350","j-j-pizza-shack-la-porte-648994"
"Great Wall Restaurant ","49 Pine Lake Avenue","La Porte","IN","46350","great-wall-restaurant-la-porte-648995"
"T Berry's Diner ","501 Lincolnway","La Porte","IN","46350","t-berry-s-diner-la-porte-648996"
"Northside Bbq ","198 McClung Road","La Porte","IN","46350","northside-bbq-la-porte-649159"
"Albanos Villa ","401 J Street","La Porte","IN","46350","albano-s-villa-la-porte-648751"
"El Bracero Mexican Restaurant ","927 Pine Lake Avenue","La Porte","IN","46350","el-bracero-la-porte-648754"
"Rocky Mountain Cafe ","209 East Lincolnway","La Porte","IN","46350","rocky-mountain-cafe-la-porte-649155"
"Trattoria Enzo ","601 Michigan Avenue","La Porte","IN","46350","trattoria-enzo-la-porte-649156"
"Indiana Deli & Catering Company ","805 Indiana Avenue","La Porte","IN","46350","indiana-deli-catering-company-la-porte-649158"
"Wok & Roll ","1505 Lincolnway","La Porte","IN","46350","wok-roll-la-porte-648865"
"Jj's Sideout Bar & Grill ","332 Park Street","La Porte","IN","46350","jj-s-sideout-bar-grill-la-porte-649162"
"Christos Family Dining ","1462 West State Road 2","La Porte","IN","46350","christos-family-dining-la-porte-649164"
"Aurelio's Pizza ","2330 U.S. 35","La Porte","IN","46350","aurelio-s-pizza-la-porte-648795"
"Mucho Mas Restaurant ","609 Lincolnway","La Porte","IN","46350","mucho-mas-la-porte-648926"
"Burger Bar & Grill ","821 East Lincolnway","La Porte","IN","46350","burger-bar-grill-la-porte-648813"
"4 Seasons Asian Restaurant ","701 Lincolnway","La Porte","IN","46350","4-seasons-asian-restaurant-la-porte-648952"
"KFC ","213 Pine Lake Avenue","La Porte","IN","46350","kfc-la-porte-653435"
"Taco Bell ","202 Pine Lake Avenue","La Porte","IN","46350","taco-bell-la-porte-653436"
"Ravens Deli","10856 14th Avenue","Lemoore","CA","93245","raven-s-deli-lemoore-487404"
"Hong Kong Chinese Restaurant ","104 North Cherry Street","Cherryville","NC","28021","hong-kong-chinese-restaurant-cherryville-616401"
"Subway ","1203 Shelby Highway","Cherryville","NC","28021","subway-cherryville-642249"
"Manantial Mexican Grill ","1205 Shelby Highway","Cherryville","NC","28021","manantial-mexican-grill-cherryville-616154"
"Mcdonald's ","1000 East Church Street","Cherryville","NC","28021","mcdonald-s-cherryville-614105"
"Taco Bell ","1101 East Church Street","Cherryville","NC","28021","taco-bell-cherryville-614093"
"El Patron ","910 East Church Street","Cherryville","NC","28021","el-patron-cherryville-615669"
"Bojangles' Famous Chicken 'n Biscuits ","1008 East Church Street","Cherryville","NC","28021","bojangles-chicken-n-biscuits-cherryville-614090"
"Macs Grill ","1201 Shelby Highway","Cherryville","NC","28021","macs-grill-cherryville-616123"
