"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Chipotle","2675 Geary Boulevard","San Francisco","CA","94118","chipotle-san-francisco-269759","Yes","2156","No",""
"Ono Hawaiian BBQ","1501 Sloat Boulevard","San Francisco","CA","94132","ono-hawaiian-bbq-san-francisco-281806","Yes","1456","No","ono-hawaiian-bbq-san-francisco-152","No","Yes","4.7"
"MAC'D","2127 Polk Street","San Francisco","CA","94109","mac-d-san-francisco-366050","No","456","No",""
"El Pollo Supremo","5210 Mission Street","San Francisco","CA","94112","el-pollo-supremo-san-francisco-207496","Yes","1408","No","el-pollo-supremo-san-francisco-522","No","Yes","4.8"
"El Gran Taco Loco","4591 Mission Street","San Francisco","CA","94112","el-gran-taco-loco-san-francisco-119411","Yes","2059","No","el-gran-taco-loco-san-francisco-452","No","Yes","4.7"
"Top Round Roast Beef","2962 24th Street","San Francisco","CA","94110","top-round-roast-beef-san-francisco-175691","Yes","1472","No","top-round-roast-beef-san-francisco-290","No","Yes","4.7"
"Popeyes","599 Divisadero Street","San Francisco","CA","94117","popeye-s-louisiana-kitchen-san-francisco-264683","Yes","1344","No",""
"La Corneta Taqueria","2834 Diamond Street","San Francisco","CA","94131","la-corneta-taqueria-san-francisco-207362","Yes","1024","No",""
"Oren's Hummus San Francisco","71 3rd Street","San Francisco","CA","94103","oren-s-hummus-san-francisco-457830","Yes","735","No",""
"Red Robbin Fried Chicken","2962 24th Street","San Francisco","CA","94110","red-ribbon-fried-chicken-san-francisco-576418","Yes","0","No","top-round-roast-beef-san-francisco-290","No","Yes","0"
"Saucy Asian","3801 17th Street","San Francisco","CA","94114","saucy-asian-san-francisco-160995","Yes","576","No",""
"Tony's Pizza Napoletana","1570 Stockton Street","San Francisco","CA","94133","tony-s-pizza-napoletana-san-francisco-401987","No","480","No","tonys-pizza-napoletana-san-francisco-153","No","No","4.4"
"Los Hermanos Taqueria","868 Geary Street","San Francisco","CA","94109","los-hermanos-taqueria-san-francisco-297694","Yes","279","No","los-hermanos-taqueria-san-francisco-869","No","Yes","4.4"
"Piri Pica","590 Valencia Street","San Francisco","CA","94110","piri-picante-san-francisco-439655","Yes","463","No","piri-pica-san-francisco-590","No","Yes","4.7"
"The Melt","925 Market Street","San Francisco","CA","94103","the-melt-san-francisco-207537","Yes","696","No",""
"SF Hole In The Wall Pizza","1825 Irving Street","San Francisco","CA","94122","sf-hole-in-the-wall-pizza-san-francisco-396669","No","567","No",""
"Rooster & Rice","4039 18th Street","San Francisco","CA","94114","rooster-rice-san-francisco-544575","Yes","14","No",""
"Roz Ka Affaire","60 Morris Street","San Francisco","CA","94107","roz-ka-affaire-san-francisco-562264","Yes","0","No",""
"Jack in the Box","400 Geary Street","San Francisco","CA","94102","jack-in-the-box-san-francisco-424296","Yes","461","No",""
"Vitality Bowls","270 5th Street","San Francisco","CA","94103","vitality-bowls-san-francisco-179114","Yes","1152","No",""
"Pupuseria Metapan","4769 Mission Street","San Francisco","CA","94112","pupuseria-metapan-san-francisco-207299","Yes","714","No","pupuseria-metapan-san-francisco-472","No","Yes","4.6"
"Underdogs Too","3600 Taraval","San Francisco","CA","94116","underdogs-too-san-francisco-416865","No","316","No","underdogs-too-san-francisco-366","No","No","4.7"
"Taqueria El Castillito","2092 Mission Street","San Francisco","CA","94110","taqueria-el-castillito-san-francisco-207364","Yes","9","No","taqueria-el-castillito-san-francisco-200","No","Yes","5"
"China Kitchen","295 Orizaba Avenue","San Francisco","CA","94132","china-kitchen-san-francisco-145563","Yes","1000","No",""
"Bayshore Taqueria","300 Bayshore Boulevard","San Francisco","CA","94124","bayshore-taqueria-san-francisco-148127","Yes","1079","No","bayshore-farmers-mkt-san-francisco-304","No","Yes","4.6"
"KoJa Kitchen Spark","601 Mission Bay Boulevard North","San Francisco","CA","94158","koja-kitchen-san-francisco-162957","Yes","667","No","spro-coffee-lab-san-francisco-608","No","Yes","4.5"
"Belcampo","22 Morris Street","San Francisco","CA","94107","belcampo-san-francisco-612130","Yes","0","No",""
"Holy Cluck","1760 Cesar Chavez","San Francisco","CA","94124","holy-cluck-san-francisco-413827","Yes","101","No",""
"Posh Bagel","495 Castro Street","San Francisco","CA","94114","the-posh-bagel-san-francisco-293632","No","32","No",""
"Boudin SF","3251 20th Avenue","San Francisco","CA","94132","boudin-bakery-san-francisco-340403","Yes","618","No","gram-cafe--pancakes-san-francisco-322","No","Yes","4.5"
"Bevmo!","1301 Van Ness Avenue","San Francisco","CA","94109","bevmo-san-francisco-251630","Yes","506","No",""
"Krispy Krunchy Chicken","393 Eddy Street","San Francisco","CA","94102","krispy-krunchy-chicken-san-francisco-448044","Yes","173","No","krispy-krunchy-chicken-san-francisco-392","No","Yes","4.7"
"Next Level Burger","450 Rhode Island Street","San Francisco","CA","94107","next-level-burger-san-francisco-428481","Yes","253","No","next-level-burger-san-francisco-457","No","Yes","4.5"
"Pizzaoki","3242 22nd Street","San Francisco","CA","94110","pizzaoki-san-francisco-624864","Yes","0","No",""
"Pizzeria Delfina","688 Mission Street","San Francisco","CA","94105","pizzeria-delfina-san-francisco-511253","Yes","107","No","pizzeria-delfina-san-francisco-685","No","Yes","4.7"
"Boston Market","2300 16th Street","San Francisco","CA","94103","boston-market-san-francisco-430140","Yes","477","No","togos-sandwiches-san-francisco-233","No","Yes","4.7"
"OMG Tea","2891 San Bruno Avenue","San Francisco","CA","94134","omg-tea-san-francisco-177943","Yes","295","No","omg-tea-san-francisco-284","No","Yes","4.7"
"Smack Shack","1525 Pine Street","San Francisco","CA","94109","smack-shack-san-francisco-340209","Yes","626","No","grubstake-san-francisco-159","No","Yes","4.3"
"Beep's Burgers","1051 Ocean Avenue","San Francisco","CA","94112","beep-s-burgers-san-francisco-207415","No","620","No","beeps-burgers-san-francisco-102","No","No","4.7"
"Ike's Love and Sandwiches - Stonestown","3251 20th Avenue","San Francisco","CA","94132","ike-s-love-sandwiches-san-francisco-537521","Yes","32","No","gram-cafe--pancakes-san-francisco-322","No","Yes","4.7"
"The Italian Homemade Company","1 Franklin Street","San Francisco","CA","94123","the-italian-homemade-company-san-francisco-469149","Yes","264","No",""
"GAI","3463 16th Street","San Francisco","CA","94114","gai-chicken-rice-san-francisco-582868","Yes","0","No",""
"Original Buffalo Wings","2499 Lombard Street","San Francisco","CA","94123","original-buffalo-wings-san-francisco-293518","Yes","90","No","original-buffalo-wings-san-francisco-243","No","Yes","4.5"
"ShareTea","865 Market Street","San Francisco","CA","94103","sharetea-san-francisco-302400","Yes","217","No","koja-kitchen-san-francisco-863","No","Yes","4.3"
"Cuppa","2810 Diamond Street","San Francisco","CA","94131","cuppa-san-francisco-272357","Yes","316","No","cuppa-san-francisco-281","No","Yes","4.7"
"Sakesan Sushi & Robata","1400 Ocean Avenue","San Francisco","CA","94112","sakesan-sushi-robata-san-francisco-423937","Yes","131","No","sakesan-sushi--robata-san-francisco-142","No","Yes","4.7"
"Benihana","1737 Post Street","San Francisco","CA","94115","benihana-san-francisco-232430","Yes","617","No","belly-good-cafe--crepes-san-francisco-175","No","Yes","4.3"
"ICICLES","829 Mission Street","San Francisco","CA","94103","icicles-san-francisco-207520","Yes","121","No",""
"KKOCHI Korean BBQ Restaurant","704 Post Street","San Francisco","CA","94109","kkochi-korean-bbq-restaurant-san-francisco-424644","Yes","64","No","kkochi-grilled-korean-bbq-san-francisco-709","No","Yes","4.8"
"International Smoke","301 Mission Street","San Francisco","CA","94105","international-smoke-san-francisco-297443","Yes","169","No","international-smoke-san-francisco-305","No","Yes","4.5"
"Applebee's","2770 Taylor Street","San Francisco","CA","94133","applebee-s-grill-bar-san-francisco-309561","Yes","330","No",""
"Round Table Pizza","1503 North Point Street","San Francisco","CA","94123","round-table-pizza-san-francisco-293671","Yes","134","No",""
"TR Burger and Wings","2962 24th Street","San Francisco","CA","94110","tr-burger-and-wings-san-francisco-621966","Yes","0","No","top-round-roast-beef-san-francisco-290","No","Yes","0"
"Tao Sushi","4808 Mission Street","San Francisco","CA","94112","tao-sushi-san-francisco-210024","Yes","118","No","tao-sushi-san-francisco-482","No","Yes","4.8"
"Gongcha","272 O'Farrell Street","San Francisco","CA","94102","gongcha-san-francisco-443176","Yes","33","No","gong-cha-san-francisco-272","No","Yes","4.3"
"GloWing","3251 20th Avenue","San Francisco","CA","94132","glowing-san-francisco-544564","Yes","9","No","gram-cafe--pancakes-san-francisco-322","No","Yes","4.7"
"An Chi","4683 Mission Street","San Francisco","CA","94112","an-chi-san-francisco-215711","Yes","388","No","an-chi-san-francisco-462","No","Yes","4.7"
"Wow Thai Kitchen","701 Randolph Street","San Francisco","CA","94132","wow-thai-kitchen-san-francisco-442613","Yes","77","No","wow-thai-kitchen-san-francisco-702","No","Yes","4.7"
"Lapats Thai Noodles Bar","601 Larkin Street","San Francisco","CA","94109","lapats-thai-noodles-bar-san-francisco-158334","Yes","468","No","lapats-thai-noodles-bar-san-francisco-609","No","Yes","4.6"
"Himalayan Pizzas and Momo","288 Golden Gate Avenue","San Francisco","CA","94102","himalayan-pizzas-and-momo-san-francisco-233565","Yes","208","No","himalayan-pizza--momo-san-francisco-282","No","Yes","4.7"
"U :Dessert Story","3489 16th Street","San Francisco","CA","94114","u-dessert-story-san-francisco-416800","Yes","115","No","u-:dessert-story-san-francisco-344","Yes","Yes","4.6"
"Pluto's","3258 Scott Street","San Francisco","CA","94123","pluto-s-san-francisco-302678","Yes","299","No","plutos-san-francisco-323","No","Yes","4.6"
"Eleven O One","1101 Polk Street","San Francisco","CA","94109","eleven-o-one-san-francisco-89114","Yes","287","No","eleven-o-one-san-francisco-119","No","Yes","4.8"
