"Restaurant Name","Address","City","State","Zipcode","Doordash ID","Contains images on Doordash","Reviews","Is it in the Woflow table","Is it in our database(DB)?","If in our DB, is it flagged?","If in our DB, does it have 3+ images?","If in our DB, how many ratings?"
"Dupont Pizza","2004 P Street Northwest","Washington DC","DC","20036","dupont-pizza-washington-dc-139973","Yes","190","No",""
"Surfside Taco Stand","1800 N Street Northwest","Washington","DC","20036","surfside-washington-22526","Yes","9431","No",""
"Chick-fil-A","5502 Silver Hill Road","District Heights","MD","20747","chick-fil-a-district-heights-402111","Yes","3702","No",""
"Wendy's","100 New York Avenue Northeast","Washington","DC","20002","wendy-s-washington-182106","Yes","3666","No",""
"NY Chicken & Grill","2914 Colebrooke Drive","Temple Hills","MD","20748","ny-chicken-grill-temple-hills-298044","Yes","1653","No",""
"Dumplings and Beyond","2400 Wisconsin Avenue Northwest","Washington","DC","20007","dumplings-beyond-washington-25258","Yes","6626","No",""
"Chipotle","3701 Branch Avenue","Hillcrest Heights","MD","20748","chipotle-hillcrest-heights-543529","Yes","102","No",""
"Danny's Carry-Out","4408 Saint Barnabas Road","Marlow Heights","MD","20748","danny-s-carry-out-marlow-heights-298054","Yes","846","No",""
"&pizza","405 8th Street Southeast","Washington","DC","20003","-pizza-washington-185963","No","2601","No",""
"Chicken + Whiskey","1738 14th Street Northwest","Washington","DC","20009","chicken-whiskey-washington-132301","Yes","1779","No",""
"Paragon Thai","3507 Connecticut Avenue Northwest","Washington","DC","20008","paragon-thai-washington-4034","Yes","3615","No",""
"IHOP","3100 14th Street Northwest","Washington","DC","20010","ihop-washington-366329","Yes","1292","No",""
"Crown Fried Chicken","716 H Street Northeast","Washington","DC","20002","crown-fried-chicken-washington-77983","No","1750","No",""
"McDonald's","5501 Livingston Road","Oxon Hill","MD","20745","mcdonald-s-oxon-hill-656494","Yes","0","No",""
"Buffalo Wild Wings","1220 Half Street Southeast","Washington","DC","20003","buffalo-wild-wings-washington-64847","Yes","3032","No",""
"Sprig and Sprout","2317 Wisconsin Avenue","Washington","DC","20007","sprig-and-sprout-washington-4100","Yes","6148","No",""
"Farmers & Distillers","600 Massachusetts Avenue Northwest","Washington","DC","20001","farmers-distillers-washington-101573","Yes","2141","No",""
"Applebee's","3447 Donnell Drive","District Heights","MD","20747","applebee-s-grill-bar-district-heights-337127","Yes","1191","No",""
"Wingstop","3443 Donnell Drive","Forestville","MD","20747","wingstop-forestville-593910","Yes","0","No",""
"Panda Express","5410 Silver Hill Road","District Heights","MD","20747","panda-express-district-heights-300578","Yes","1074","No",""
"Sardi's Pollo A La Brasa","8811 Hampton Mall Drive North","Capitol Heights","MD","20743","sardi-s-pollo-a-la-brasa-capitol-heights-298098","Yes","428","No",""
"Fat Pete's BBQ","3407 Connecticut Avenue Northwest","Washington","DC","20008","fat-pete-s-bbq-washington-3887","Yes","5696","No",""
"Pi Pizzeria","910 F Street Northwest","Washington","DC","20004","pi-pizzeria-washington-3952","Yes","1787","No",""
"Reren Lamen & Bar","817 7th Street Northwest","Washington","DC","20001","reren-lamen-bar-washington-78586","Yes","2433","No",""
"462 - Noodles & Company","1667 K Street Northwest","Washington","DC","20006","noodles-company-washington-8894","Yes","576","No",""
"Tony's Place","1401 H Street Northeast","Washington","DC","20002","tony-s-place-washington-235784","Yes","857","No",""
"Five Guys MD-0633","9101 Alaking Court","Capitol Heights","MD","20743","five-guys-capitol-heights-347472","Yes","1352","No",""
"Shake Shack","1216 18th Street Northwest","Washington","DC","20036","shake-shack-washington-12713","Yes","5087","No",""
"Eggspectation","923 Ellsworth Drive","Silver Spring","MD","20910","eggspectation-silver-spring-24265","Yes","941","No",""
"Jinya Ramen Bar","1336 14th Street Northwest","Washington","DC","20005","jinya-ramen-bar-washington-170984","Yes","3132","No",""
"America's Best Wings","10 Audrey Lane","Oxon Hill","MD","20745","america-s-best-wings-oxon-hill-300570","No","1246","No",""
"Tropical Smoothie Cafe","3795 Branch Avenue","Hillcrest Heights","MD","20748","tropical-smoothie-cafe-hillcrest-heights-467662","Yes","370","No",""
"Nando's Peri Peri","1210 18th St NW","Washington","DC","20036","nando-s-peri-peri-washington-21261","Yes","2151","No",""
"Silver Diner","6040 Greenbelt Road","Greenbelt","MD","20770","silver-diner-greenbelt-320828","No","724","No",""
"Popeyes","5320 Marlboro Pike","District Heights","MD","20747","popeye-s-louisiana-kitchen-district-heights-300625","Yes","5","No",""
"Matchbox","521 8th Street Southeast","Washington","DC","20003","matchbox-washington-19806","No","2923","No",""
"Rocklands","2418 Wisconsin Avenue","Washington","DC","20007","rocklands-washington-4125","Yes","1538","No",""
